District,District_Code,Total_Beneficiaries,Sanctioned_Amount,Request_ID,Request_Date,Year,Requested_Amount,Granted_Amount,Request_Status,District_Population,Scheme_Name,Applicant_Income_Bracket,Application_Channel,Officer_Review_Score,Processing_Time_Days
Morigaon,D019,437,587765,REQ00212,2018-04-27,2018,6323,6323,Approved,1084194,PMGSY,BPL,Offline,8.27,50
Morigaon,D019,3512,3975584,REQ00213,2018-05-05,2018,33639,33639,Approved,1467074,PMGSY,Middle,Offline,7.91,31
Jorhat,D008,3426,2754504,REQ00214,2023-02-01,2023,5782,5782,Approved,2043839,PMAY,Middle,Online,7.3,27
Karimganj,D016,3904,2764032,REQ00215,2021-10-25,2021,40758,40758,Approved,1539310,NRLM,BPL,CSC,5.37,47
Dhemaji,D012,3366,2130678,REQ00216,2022-02-26,2022,34749,34749,Approved,1213922,PMAY,Middle,Offline,7.52,30
Sonitpur,D004,2291,2199360,REQ00217,2020-10-12,2020,10232,414,Rejected,1953784,NRLM,BPL,Offline,4.45,16
Barpeta,D006,2782,4050592,REQ00218,2021-07-04,2021,13440,13440,Approved,2157964,NSAP,BPL,CSC,5.53,32
Darrang,D010,4174,2183002,REQ00219,2019-01-04,2019,26771,26771,Approved,1102381,NSAP,Middle,Online,5.03,38
Dhemaji,D012,498,274398,REQ00220,2021-02-26,2021,33433,33433,Approved,2451044,NSAP,Middle,Offline,6.16,1
Sonitpur,D004,3630,2312310,REQ00221,2020-12-19,2020,48677,48677,Approved,389760,NSAP,Low,Offline,10.0,26
Dibrugarh,D002,4771,5128825,REQ00222,2020-03-08,2020,24758,4728,Rejected,2315000,PMAY,Middle,Offline,2.27,29
Lakhimpur,D018,2391,3215895,REQ00223,2019-05-02,2019,9432,9432,Approved,1622226,NSAP,BPL,Offline,7.37,36
Dhemaji,D012,1281,900543,REQ00224,2023-09-17,2023,27305,659,Rejected,774772,PMAY,Middle,Online,2.77,46
Bongaigaon,D011,3980,4103380,REQ00225,2023-02-15,2023,10760,10760,Approved,1575588,PMGSY,Middle,Online,5.06,60
Nalbari,D020,2709,1804194,REQ00226,2022-05-29,2022,41402,41402,Approved,1610852,NRLM,Middle,CSC,8.18,33
Kokrajhar,D017,4460,4464460,REQ00227,2021-05-12,2021,32122,32122,Approved,659714,NRLM,BPL,Offline,6.13,27
Morigaon,D019,2620,3445300,REQ00228,2018-04-20,2018,40119,8700,Rejected,1154385,PMGSY,Low,CSC,3.84,47
Dibrugarh,D002,4880,4836080,REQ00229,2019-11-30,2019,35356,12458,Rejected,1215846,MGNREGA,Middle,CSC,4.57,3
Morigaon,D019,1000,695000,REQ00230,2018-03-19,2018,29903,29903,Approved,1932080,NSAP,Low,Online,7.36,45
Cachar,D007,3461,3505993,REQ00231,2023-04-16,2023,49223,2040,Rejected,1069654,MGNREGA,Middle,CSC,4.54,36
Bongaigaon,D011,4018,4170684,REQ00232,2022-03-24,2022,21562,21562,Approved,1635823,NSAP,BPL,CSC,6.43,35
Dhemaji,D012,2265,2545860,REQ00233,2023-06-07,2023,13600,13600,Approved,1451996,NRLM,BPL,CSC,6.09,15
Darrang,D010,2467,3012207,REQ00234,2020-04-29,2020,46235,16023,Rejected,1662986,NRLM,Middle,Offline,4.7,36
Golaghat,D009,2457,1533168,REQ00235,2022-04-05,2022,26856,26856,Approved,376439,MGNREGA,Low,Offline,10.0,19
Nagaon,D003,2937,4246902,REQ00236,2022-12-17,2022,43989,43989,Approved,1047534,NSAP,Low,Online,7.27,53
Lakhimpur,D018,2321,3377055,REQ00237,2021-01-17,2021,9996,4807,Rejected,412925,MGNREGA,BPL,Online,1.95,43
Kokrajhar,D017,1948,2246044,REQ00238,2020-08-11,2020,4440,4440,Approved,2181405,NSAP,BPL,Offline,6.37,7
Tinsukia,D005,142,211154,REQ00239,2019-10-09,2019,27667,7793,Rejected,1036578,NSAP,Middle,CSC,4.68,49
Darrang,D010,2731,2162952,REQ00240,2018-08-31,2018,6862,6862,Approved,2444591,PMGSY,Middle,Online,7.7,48
Dibrugarh,D002,1534,1422018,REQ00241,2019-12-22,2019,3381,1613,Rejected,1414112,NSAP,Low,Online,4.41,57
Dibrugarh,D002,175,140875,REQ00242,2019-03-16,2019,22957,22957,Approved,2478767,NSAP,Low,CSC,5.77,34
Karimganj,D016,1199,1643829,REQ00243,2023-08-28,2023,31672,31672,Approved,1586989,MGNREGA,Low,Online,7.01,11
Karbi Anglong,D015,2207,2725645,REQ00244,2020-02-02,2020,1923,1923,Approved,1010177,NRLM,Middle,Offline,7.73,12
Nalbari,D020,3421,4604666,REQ00245,2022-10-18,2022,34769,2842,Rejected,600074,NSAP,Low,CSC,3.6,12
Tinsukia,D005,4011,3333141,REQ00246,2020-10-13,2020,1447,1447,Approved,2073744,NSAP,Low,Online,5.33,49
Golaghat,D009,2800,2265200,REQ00247,2018-02-16,2018,18141,18141,Approved,1191124,NRLM,Middle,CSC,5.05,4
Sonitpur,D004,3912,3184368,REQ00248,2019-10-17,2019,27569,8233,Rejected,692477,NRLM,Middle,CSC,4.69,41
Darrang,D010,3110,3511190,REQ00249,2020-06-23,2020,15360,15360,Approved,2108318,NSAP,BPL,Online,9.53,48
Nalbari,D020,3160,2923000,REQ00250,2023-04-13,2023,36226,36226,Approved,543388,MGNREGA,Middle,Online,6.81,34
Karbi Anglong,D015,4426,5399720,REQ00251,2022-01-21,2022,6118,459,Rejected,2320166,PMAY,Middle,CSC,3.48,13
Morigaon,D019,4496,2935888,REQ00252,2019-11-05,2019,22503,22503,Approved,1061516,NSAP,Middle,Online,7.84,46
Morigaon,D019,4104,2433672,REQ00253,2023-09-22,2023,30195,30195,Approved,2352717,NSAP,BPL,Online,10.0,27
Karbi Anglong,D015,4719,2637921,REQ00254,2023-03-09,2023,45090,45090,Approved,1267270,PMAY,Low,Offline,8.06,53
Kamrup,D001,1885,2058420,REQ00255,2018-10-27,2018,3968,705,Rejected,452730,PMAY,Low,CSC,2.96,60
Nagaon,D003,3967,2110444,REQ00256,2021-03-21,2021,27795,27795,Approved,1963125,MGNREGA,BPL,CSC,5.03,24
Goalpara,D013,3774,5245860,REQ00257,2022-03-27,2022,25618,25618,Approved,1658652,PMGSY,BPL,Online,8.53,8
Barpeta,D006,4501,4059902,REQ00258,2023-12-07,2023,9345,1824,Rejected,1451425,PMAY,Middle,Online,4.58,30
Lakhimpur,D018,3574,3731256,REQ00259,2022-04-03,2022,16051,16051,Approved,850626,NSAP,BPL,Offline,6.89,18
Cachar,D007,1024,544768,REQ00260,2022-09-14,2022,41299,41299,Approved,482238,MGNREGA,BPL,Online,7.55,7
Nalbari,D020,375,358875,REQ00261,2018-07-19,2018,17038,724,Rejected,1182890,NSAP,Middle,Offline,4.15,35
Cachar,D007,562,361366,REQ00262,2023-08-26,2023,19957,19957,Approved,1544966,PMGSY,BPL,Offline,5.88,16
Darrang,D010,1273,1497048,REQ00263,2023-11-06,2023,15486,2461,Rejected,934561,NRLM,Low,Online,1.0,41
Hailakandi,D014,4653,4685571,REQ00264,2018-07-12,2018,23571,10999,Rejected,1536869,NSAP,Middle,CSC,3.95,45
Hailakandi,D014,3444,2245488,REQ00265,2021-05-13,2021,25671,25671,Approved,1210693,PMGSY,BPL,Offline,5.49,55
Jorhat,D008,2563,3531814,REQ00266,2019-08-15,2019,31344,9214,Rejected,2422946,NSAP,BPL,Offline,3.5,9
Goalpara,D013,2089,1589729,REQ00267,2020-04-12,2020,22644,22644,Approved,1756411,PMAY,Middle,Offline,9.26,6
Lakhimpur,D018,1660,916320,REQ00268,2021-01-04,2021,25718,9911,Rejected,505279,PMGSY,Middle,Online,3.14,13
Morigaon,D019,4678,3377516,REQ00269,2023-05-18,2023,14689,14689,Approved,1088386,NRLM,Low,Online,5.12,60
Cachar,D007,1061,1341104,REQ00270,2023-05-16,2023,16898,16898,Approved,1057790,PMGSY,Middle,CSC,6.26,26
Jorhat,D008,4622,3831638,REQ00271,2021-03-05,2021,25947,25947,Approved,1706843,PMGSY,Low,CSC,8.88,20
Golaghat,D009,3046,3122150,REQ00272,2023-07-30,2023,31540,13153,Rejected,1051978,NSAP,BPL,Offline,3.13,24
Bongaigaon,D011,3490,1905540,REQ00273,2020-06-25,2020,49578,49578,Approved,1951449,PMAY,BPL,Offline,8.33,19
Tinsukia,D005,1707,1428759,REQ00274,2020-07-31,2020,25893,25893,Approved,1615847,MGNREGA,Middle,Offline,6.02,17
Karimganj,D016,4118,3998578,REQ00275,2019-11-21,2019,49022,5546,Rejected,2492381,MGNREGA,Low,CSC,4.04,32
Barpeta,D006,4541,5253937,REQ00276,2018-08-29,2018,35337,35337,Approved,403484,PMAY,BPL,CSC,6.92,49
Kamrup,D001,3478,2225920,REQ00277,2020-08-05,2020,5454,5454,Approved,1117376,MGNREGA,Middle,Online,6.4,33
Karbi Anglong,D015,3157,1771077,REQ00278,2023-06-03,2023,44206,515,Rejected,1925278,PMAY,Low,CSC,4.8,1
Kamrup,D001,4436,5496204,REQ00279,2021-01-30,2021,36110,36110,Approved,2005954,PMAY,Low,CSC,6.14,52
Barpeta,D006,976,1405440,REQ00280,2019-01-30,2019,35366,35366,Approved,2408116,MGNREGA,BPL,Online,5.23,17
Dhemaji,D012,2289,3007746,REQ00281,2022-06-14,2022,6178,6178,Approved,1220087,NSAP,Low,Offline,6.23,45
Jorhat,D008,2557,3068400,REQ00282,2018-11-27,2018,43843,43843,Approved,1899860,PMAY,Middle,Online,7.32,25
Goalpara,D013,4627,4566849,REQ00283,2018-08-18,2018,42729,42729,Approved,2296558,MGNREGA,BPL,Online,9.17,55
Hailakandi,D014,2813,3035227,REQ00284,2019-01-26,2019,35613,7528,Rejected,2194392,MGNREGA,BPL,CSC,3.52,18
Dibrugarh,D002,709,850800,REQ00285,2021-02-22,2021,36588,36588,Approved,1519044,PMAY,Middle,Online,10.0,2
Cachar,D007,4908,3175476,REQ00286,2022-06-20,2022,6042,665,Rejected,1832241,PMGSY,Low,Online,2.1,44
Lakhimpur,D018,2817,2515581,REQ00287,2019-07-28,2019,46174,46174,Approved,1650639,PMAY,Middle,CSC,5.7,4
Sonitpur,D004,3680,2712160,REQ00288,2018-11-08,2018,23321,23321,Approved,1863893,PMGSY,Middle,CSC,7.18,50
Bongaigaon,D011,342,392958,REQ00289,2021-01-24,2021,30527,30527,Approved,1774654,MGNREGA,Low,Offline,6.56,28
Barpeta,D006,4899,5761224,REQ00290,2022-04-06,2022,6616,1209,Rejected,508309,MGNREGA,Middle,CSC,4.75,6
Golaghat,D009,1363,1211707,REQ00291,2019-09-24,2019,49474,49474,Approved,646906,NRLM,Low,Offline,5.58,6
Kamrup,D001,2625,2506875,REQ00292,2022-01-14,2022,18679,18679,Approved,985978,MGNREGA,BPL,Online,5.01,28
Karbi Anglong,D015,4662,4979016,REQ00293,2023-09-30,2023,27741,430,Rejected,590339,PMAY,BPL,Offline,4.82,39
Nalbari,D020,2757,3815688,REQ00294,2022-04-27,2022,1808,1808,Approved,555255,NSAP,Low,Offline,7.7,47
Lakhimpur,D018,2088,2265480,REQ00295,2023-11-05,2023,12113,12113,Approved,782337,NSAP,Middle,Online,6.71,18
Darrang,D010,2298,2307192,REQ00296,2019-08-21,2019,5146,1780,Rejected,1457252,NRLM,BPL,Offline,4.61,31
Nagaon,D003,3058,2314906,REQ00297,2020-10-07,2020,48244,48244,Approved,1020188,NSAP,Middle,CSC,7.8,30
Sonitpur,D004,1209,980499,REQ00298,2018-01-28,2018,26932,26932,Approved,1582198,PMGSY,Low,Offline,6.61,29
Bongaigaon,D011,3627,4842045,REQ00299,2019-07-12,2019,20689,20689,Approved,1042432,PMGSY,Low,CSC,7.63,31
Bongaigaon,D011,1555,2312285,REQ00300,2022-06-20,2022,21915,21915,Approved,1216801,NSAP,Low,CSC,7.26,21
Goalpara,D013,2396,3201056,REQ00301,2022-05-29,2022,24921,9238,Rejected,2488534,MGNREGA,BPL,CSC,4.34,12
Lakhimpur,D018,320,472000,REQ00302,2023-03-06,2023,47423,14367,Rejected,490072,NRLM,BPL,CSC,4.88,53
Hailakandi,D014,4190,2689980,REQ00303,2021-05-25,2021,16861,16861,Approved,1974727,MGNREGA,Low,CSC,7.49,51
Goalpara,D013,705,676095,REQ00304,2023-05-17,2023,39157,39157,Approved,1954480,PMGSY,Low,CSC,7.22,35
Dibrugarh,D002,3045,3708810,REQ00305,2018-12-15,2018,8167,8167,Approved,385793,NRLM,BPL,Online,5.96,37
Goalpara,D013,2816,4190208,REQ00306,2022-10-30,2022,7943,7943,Approved,1131140,PMAY,BPL,Offline,6.23,33
Kokrajhar,D017,4671,5110074,REQ00307,2020-06-24,2020,30214,30214,Approved,2299105,NSAP,Low,Offline,8.56,10
Dhemaji,D012,301,299194,REQ00308,2019-03-05,2019,20361,1406,Rejected,794228,PMAY,Low,CSC,4.82,23
Darrang,D010,2910,2811060,REQ00309,2020-04-27,2020,35151,35151,Approved,609460,NRLM,Low,Offline,7.09,29
Karbi Anglong,D015,2712,1540416,REQ00310,2021-05-14,2021,3928,3928,Approved,1638973,PMAY,Middle,Online,5.6,42
Sonitpur,D004,1446,2099592,REQ00311,2020-09-26,2020,34816,34816,Approved,1588271,PMGSY,BPL,Online,5.56,36
Hailakandi,D014,3885,2863245,REQ00312,2022-07-18,2022,42271,42271,Approved,2012503,MGNREGA,BPL,CSC,8.2,26
Kamrup,D001,1716,1647360,REQ00313,2022-10-26,2022,26482,26482,Approved,1367462,MGNREGA,BPL,Online,7.65,49
Nagaon,D003,4829,2916716,REQ00314,2020-02-05,2020,24972,24972,Approved,677961,MGNREGA,Low,Offline,7.63,17
Karimganj,D016,4423,6585847,REQ00315,2021-07-07,2021,40123,40123,Approved,679124,PMGSY,Low,Offline,8.61,23
Dhemaji,D012,3850,4358200,REQ00316,2019-12-08,2019,45144,45144,Approved,555475,NRLM,Middle,CSC,6.04,44
Tinsukia,D005,2665,1652300,REQ00317,2020-09-04,2020,21013,21013,Approved,792900,MGNREGA,BPL,Offline,7.36,33
Goalpara,D013,3526,3913860,REQ00318,2019-07-19,2019,38670,38670,Approved,2241242,NSAP,Low,Online,5.38,41
Lakhimpur,D018,1519,1622292,REQ00319,2019-11-15,2019,33089,33089,Approved,1519444,MGNREGA,Low,Online,6.65,54
Karbi Anglong,D015,539,747054,REQ00320,2022-01-10,2022,1628,1628,Approved,1810378,MGNREGA,Low,Online,5.74,36
Kokrajhar,D017,4154,3813372,REQ00321,2023-07-08,2023,28238,28238,Approved,901511,NSAP,Middle,Offline,6.19,6
Morigaon,D019,352,462528,REQ00322,2020-06-22,2020,20142,20142,Approved,2454893,NRLM,BPL,Online,7.19,19
Barpeta,D006,3846,4149834,REQ00323,2023-07-22,2023,37026,3709,Rejected,1323607,PMGSY,Middle,Online,4.36,50
Lakhimpur,D018,3105,3275775,REQ00324,2018-06-20,2018,48119,48119,Approved,1983228,PMGSY,Low,Online,10.0,7
Jorhat,D008,2538,3540510,REQ00325,2018-05-13,2018,30473,5711,Rejected,692352,PMAY,Low,Offline,3.99,50
Jorhat,D008,1819,2419270,REQ00326,2021-12-07,2021,47579,20734,Rejected,783993,NSAP,Middle,Online,3.57,51
Cachar,D007,1795,2376580,REQ00327,2018-09-01,2018,38360,38360,Approved,2459759,PMGSY,Low,Offline,8.32,11
Bongaigaon,D011,2497,1987612,REQ00328,2020-12-31,2020,34712,34712,Approved,1926359,PMAY,Middle,Online,7.58,59
Dibrugarh,D002,2371,3288577,REQ00329,2019-06-04,2019,46968,46968,Approved,1550971,MGNREGA,BPL,Online,7.25,54
Jorhat,D008,3317,3320317,REQ00330,2019-08-06,2019,38842,38842,Approved,1937385,NRLM,Middle,CSC,7.26,25
Karbi Anglong,D015,718,824264,REQ00331,2019-01-17,2019,27401,27401,Approved,1747996,NRLM,Middle,CSC,5.98,30
Karimganj,D016,2781,3045195,REQ00332,2018-01-11,2018,49019,23951,Rejected,1702495,NSAP,BPL,CSC,4.21,55
Nagaon,D003,4478,4061546,REQ00333,2020-06-11,2020,29157,29157,Approved,1554194,NSAP,BPL,Offline,6.15,54
Darrang,D010,2866,3037960,REQ00334,2019-06-19,2019,38102,11263,Rejected,617646,PMAY,Low,Online,4.65,41
Karbi Anglong,D015,233,146091,REQ00335,2019-10-10,2019,29920,29920,Approved,1048584,PMAY,Low,Offline,7.95,45
Tinsukia,D005,2572,1702664,REQ00336,2021-01-27,2021,7117,7117,Approved,545696,NRLM,Middle,Offline,5.71,24
Barpeta,D006,524,474220,REQ00337,2021-06-05,2021,48578,7672,Rejected,582517,NSAP,Middle,CSC,4.35,46
Sonitpur,D004,108,77544,REQ00338,2023-05-08,2023,6107,6107,Approved,2378707,PMGSY,BPL,Online,5.36,44
Karbi Anglong,D015,176,89408,REQ00339,2021-11-08,2021,8903,8903,Approved,497075,MGNREGA,Low,Offline,6.83,15
Goalpara,D013,831,1037088,REQ00340,2019-02-24,2019,7763,1505,Rejected,1805248,NRLM,Low,Online,4.87,50
Tinsukia,D005,1270,723900,REQ00341,2023-12-13,2023,37915,5377,Rejected,1093619,NSAP,BPL,Offline,4.36,41
Tinsukia,D005,3472,3923360,REQ00342,2022-12-18,2022,15237,15237,Approved,716558,PMAY,BPL,Online,6.49,38
Goalpara,D013,2979,4426794,REQ00343,2022-10-25,2022,21611,21611,Approved,553364,MGNREGA,BPL,Offline,6.49,16
Lakhimpur,D018,2434,3156898,REQ00344,2018-04-20,2018,44149,6732,Rejected,2337092,PMGSY,Low,CSC,4.99,13
Goalpara,D013,2521,2926881,REQ00345,2018-08-12,2018,16685,16685,Approved,1211170,NSAP,Low,Online,5.06,32
Nalbari,D020,681,708240,REQ00346,2018-02-19,2018,24664,24664,Approved,1965229,MGNREGA,Low,Offline,6.46,24
Lakhimpur,D018,1515,1940715,REQ00347,2023-04-14,2023,5783,2405,Rejected,1299684,PMAY,BPL,Online,3.1,14
Dibrugarh,D002,595,875245,REQ00348,2022-06-19,2022,34201,16418,Rejected,1887273,NSAP,Low,Offline,3.19,6
Lakhimpur,D018,4504,5089520,REQ00349,2019-09-18,2019,19184,5077,Rejected,1052272,PMAY,BPL,CSC,4.56,52
Tinsukia,D005,4494,3747996,REQ00350,2022-05-20,2022,39432,39432,Approved,2034949,PMAY,Middle,Offline,5.57,47
Jorhat,D008,574,430500,REQ00351,2018-12-20,2018,29474,29474,Approved,430806,NSAP,BPL,CSC,6.62,20
Barpeta,D006,1078,551936,REQ00352,2019-07-17,2019,46973,46973,Approved,1654186,MGNREGA,BPL,Offline,8.95,34
Kokrajhar,D017,2223,1489410,REQ00353,2022-03-04,2022,9318,9318,Approved,695165,NRLM,Middle,CSC,7.72,50
Kamrup,D001,2844,3771144,REQ00354,2022-10-25,2022,18824,18824,Approved,523255,PMAY,Middle,Offline,5.68,32
Karbi Anglong,D015,4284,3718512,REQ00355,2018-08-16,2018,33742,33742,Approved,859805,MGNREGA,Middle,Offline,5.96,17
Sonitpur,D004,4801,5713190,REQ00356,2019-04-18,2019,15968,4168,Rejected,251539,PMAY,Middle,Online,3.99,16
Dibrugarh,D002,3964,3456608,REQ00357,2022-04-18,2022,10835,10835,Approved,1958962,PMAY,BPL,CSC,5.96,15
Bongaigaon,D011,2133,1975158,REQ00358,2021-08-03,2021,18777,18777,Approved,700803,PMGSY,BPL,Offline,5.42,33
Dibrugarh,D002,1569,1142232,REQ00359,2023-10-14,2023,4009,4009,Approved,1384080,PMAY,Low,Offline,6.65,50
Darrang,D010,2781,1635228,REQ00360,2023-02-14,2023,1522,205,Rejected,1474688,NRLM,Low,CSC,4.35,48
Nalbari,D020,2087,2034825,REQ00361,2022-02-17,2022,39777,39777,Approved,2492435,MGNREGA,Low,CSC,7.04,49
Jorhat,D008,1333,674498,REQ00362,2022-08-07,2022,2566,2566,Approved,240243,PMGSY,BPL,Offline,9.07,22
Kamrup,D001,3182,4356158,REQ00363,2021-06-13,2021,7812,7812,Approved,1960835,PMGSY,BPL,Online,5.78,32
Dibrugarh,D002,1266,1554648,REQ00364,2021-02-20,2021,7096,7096,Approved,1932485,MGNREGA,BPL,CSC,6.8,45
Dhemaji,D012,3855,5770935,REQ00365,2018-12-14,2018,39061,39061,Approved,1854029,PMGSY,BPL,Online,7.38,5
Morigaon,D019,4751,2674813,REQ00366,2022-11-17,2022,44413,44413,Approved,1294675,MGNREGA,BPL,Offline,5.2,55
Bongaigaon,D011,3319,4039223,REQ00367,2021-08-29,2021,21844,21844,Approved,513261,NRLM,Low,Online,6.45,13
Tinsukia,D005,4889,2987179,REQ00368,2019-09-29,2019,7924,7924,Approved,1517151,NSAP,BPL,Offline,6.03,27
Sonitpur,D004,4490,3888340,REQ00369,2020-04-30,2020,30616,30616,Approved,702953,NSAP,Low,Offline,6.2,6
Barpeta,D006,2592,3488832,REQ00370,2018-06-15,2018,15091,1215,Rejected,1241105,PMAY,Low,CSC,4.45,23
Goalpara,D013,4306,2368300,REQ00371,2021-05-09,2021,18050,18050,Approved,2096669,PMAY,BPL,Offline,6.05,36
Lakhimpur,D018,2146,1279016,REQ00372,2023-03-08,2023,7678,7678,Approved,458659,PMAY,BPL,Online,7.0,54
Jorhat,D008,1170,821340,REQ00373,2022-06-29,2022,25395,25395,Approved,1285572,PMAY,Middle,CSC,8.9,59
Nagaon,D003,278,157348,REQ00374,2020-03-20,2020,43335,43335,Approved,1590621,MGNREGA,Low,Online,7.92,8
Dibrugarh,D002,3876,2135676,REQ00375,2019-11-20,2019,38610,38610,Approved,323657,NSAP,Low,Offline,10.0,25
Hailakandi,D014,1515,1305930,REQ00376,2020-05-29,2020,13265,2292,Rejected,345330,NSAP,Low,Online,4.47,40
Nalbari,D020,2113,2455306,REQ00377,2021-04-23,2021,33695,33695,Approved,455764,PMGSY,Low,Offline,7.74,6
Golaghat,D009,3237,2071680,REQ00378,2022-09-14,2022,14071,14071,Approved,2480261,PMGSY,Middle,Online,6.37,51
Kamrup,D001,3233,4202900,REQ00379,2022-01-10,2022,32436,32436,Approved,2307190,NSAP,Middle,Offline,10.0,21
Goalpara,D013,2315,1583460,REQ00380,2018-04-17,2018,21897,3588,Rejected,445749,PMAY,Middle,Offline,4.38,52
Karimganj,D016,4437,3842442,REQ00381,2020-08-11,2020,11461,2030,Rejected,2438456,MGNREGA,BPL,Offline,4.32,53
Dibrugarh,D002,1897,2065833,REQ00382,2022-05-10,2022,24252,2885,Rejected,1533806,MGNREGA,BPL,CSC,4.8,52
Dhemaji,D012,4946,2611488,REQ00383,2021-12-11,2021,38201,4656,Rejected,2264548,PMGSY,Middle,Online,1.75,35
Darrang,D010,1538,1541076,REQ00384,2018-06-05,2018,6915,952,Rejected,283584,PMGSY,BPL,Online,4.95,34
Karimganj,D016,105,88095,REQ00385,2020-04-05,2020,9551,1453,Rejected,291909,NRLM,Low,Online,4.48,10
Morigaon,D019,1260,1627920,REQ00386,2019-03-31,2019,35491,35491,Approved,1859248,PMAY,Low,Offline,6.3,38
Sonitpur,D004,2857,2311313,REQ00387,2021-08-14,2021,9942,9942,Approved,2243464,NSAP,BPL,CSC,6.68,42
Bongaigaon,D011,1527,1869048,REQ00388,2022-01-01,2022,15630,15630,Approved,1787057,PMGSY,Middle,Online,9.75,20
Darrang,D010,1143,778383,REQ00389,2018-01-08,2018,47006,47006,Approved,335823,NSAP,Middle,CSC,7.9,12
Nalbari,D020,2706,3904758,REQ00390,2020-06-23,2020,42919,3411,Rejected,1589021,NSAP,Middle,Online,4.85,48
Nagaon,D003,2049,1751895,REQ00391,2021-08-01,2021,12002,726,Rejected,247796,NRLM,Middle,Offline,4.2,17
Cachar,D007,2144,2592096,REQ00392,2018-10-05,2018,23969,23969,Approved,205373,PMAY,Low,CSC,6.98,4
Goalpara,D013,3689,4611250,REQ00393,2022-09-15,2022,11901,4039,Rejected,2490190,NSAP,Low,Offline,3.36,25
Sonitpur,D004,4027,5263289,REQ00394,2020-07-12,2020,11659,11659,Approved,1436936,PMAY,Low,Online,9.66,2
Bongaigaon,D011,2239,3300286,REQ00395,2019-03-05,2019,5862,5862,Approved,874882,MGNREGA,Low,Offline,8.36,47
Nagaon,D003,4581,6706584,REQ00396,2019-01-17,2019,23147,23147,Approved,329994,PMGSY,Middle,Offline,5.06,28
Barpeta,D006,3656,2412960,REQ00397,2018-08-08,2018,7636,841,Rejected,2465450,MGNREGA,Low,Offline,2.57,17
Darrang,D010,2536,1884248,REQ00398,2019-01-28,2019,4252,4252,Approved,2259186,PMGSY,Low,CSC,8.71,10
Dibrugarh,D002,3055,1536665,REQ00399,2022-10-18,2022,6742,6742,Approved,1037496,PMGSY,Low,Offline,5.77,7
Kamrup,D001,1795,1209830,REQ00400,2021-04-10,2021,6369,6369,Approved,1867098,PMAY,Low,Offline,8.48,31
Karimganj,D016,2270,1346110,REQ00401,2022-05-07,2022,13116,3124,Rejected,2069717,NRLM,Low,Online,2.81,3
Golaghat,D009,3702,3613152,REQ00402,2020-12-14,2020,15827,4622,Rejected,605600,PMAY,Low,Online,4.8,6
Dhemaji,D012,4535,4185805,REQ00403,2020-07-20,2020,37280,37280,Approved,1955870,NSAP,BPL,CSC,6.01,35
Karimganj,D016,4791,6716982,REQ00404,2020-08-23,2020,32212,32212,Approved,345661,PMAY,Low,Offline,6.09,33
Morigaon,D019,4333,5715227,REQ00405,2019-08-27,2019,8882,8882,Approved,1088731,MGNREGA,Low,Online,5.1,52
Cachar,D007,1133,615219,REQ00406,2022-10-01,2022,6135,6135,Approved,820246,NSAP,Middle,Online,7.25,54
Nalbari,D020,2212,1829324,REQ00407,2018-10-02,2018,6703,2278,Rejected,1567874,NSAP,Low,CSC,3.86,55
Golaghat,D009,4357,4221933,REQ00408,2018-02-20,2018,46902,46902,Approved,1959904,PMGSY,Middle,CSC,5.72,8
Hailakandi,D014,1325,862575,REQ00409,2019-02-15,2019,7922,7922,Approved,2446609,PMAY,Middle,Offline,6.24,57
Dhemaji,D012,3466,2668820,REQ00410,2022-04-18,2022,43912,43912,Approved,2184101,PMGSY,Low,CSC,7.03,3
Barpeta,D006,2356,2148672,REQ00411,2019-08-13,2019,41517,41517,Approved,1860075,NSAP,Middle,Online,7.42,57
Bongaigaon,D011,2046,1125300,REQ00412,2023-05-01,2023,18601,331,Rejected,1504215,NRLM,Low,Offline,3.75,18
Karimganj,D016,904,1351480,REQ00413,2020-07-22,2020,9807,3629,Rejected,1948071,NRLM,Low,Offline,2.93,39
Nagaon,D003,1639,1560328,REQ00414,2020-05-15,2020,27684,27684,Approved,1768293,NSAP,Middle,CSC,8.56,53
Dibrugarh,D002,4321,5660510,REQ00415,2019-10-14,2019,5300,5300,Approved,768956,PMGSY,Low,Offline,6.66,50
Kokrajhar,D017,4758,2516982,REQ00416,2019-12-13,2019,13632,472,Rejected,2114484,MGNREGA,BPL,Online,4.5,4
Dhemaji,D012,1731,1350180,REQ00417,2022-02-17,2022,31423,31423,Approved,719560,NSAP,Middle,CSC,9.1,44
Kamrup,D001,2081,1833361,REQ00418,2023-06-26,2023,39931,39931,Approved,1666999,MGNREGA,Low,Offline,6.23,23
Barpeta,D006,2218,2807988,REQ00419,2019-01-06,2019,19682,19682,Approved,883283,NSAP,BPL,Online,8.36,55
Morigaon,D019,1855,2554335,REQ00420,2020-06-25,2020,43426,43426,Approved,1917597,MGNREGA,BPL,Offline,6.14,33
Kamrup,D001,172,169420,REQ00421,2019-06-26,2019,43426,43426,Approved,1138559,PMGSY,BPL,Online,10.0,17
Nalbari,D020,2602,3197858,REQ00422,2021-02-01,2021,28774,28774,Approved,1256959,NRLM,Low,Offline,9.51,14
Karbi Anglong,D015,2575,3071975,REQ00423,2023-11-03,2023,41868,41868,Approved,230817,PMGSY,Low,Online,5.5,33
